"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"female","60","3","male","once a week","female","almost daily","female","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"30",NA
"female","44","2","male","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","41","3","female","once a week","female","once a week","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,"very good"
"female","28","5","male","almost daily","female","once a week","female","once a week","female","once a week","male","once a week","know each other","know each other","know each other","know each other","know each other","especially close","especially close","know each other","know each other","know each other","3",NA
"male","51","3","female","once a month","female","once a week","male","once a month",NA,NA,NA,NA,"total strangers","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"10",NA
"female","47","6","male","once a week","female","once a week","female","once a month","female","once a week","female","once a month","especially close","know each other","total strangers","know each other","know each other","total strangers","know each other","know each other","total strangers","total strangers","30",NA
"male","37","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","fair"
"female","25","5","female","almost daily","female","once a week","female","almost daily","male","almost daily","female","almost daily","especially close","know each other","know each other","total strangers","especially close","know each other","total strangers","know each other","total strangers","know each other","2",NA
"female","19","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","55","6","female","once a month","female","once a month","female","lt once a month","female","once a month","female","once a month","total strangers","especially close","total strangers","total strangers","total strangers","total strangers","especially close","total strangers","total strangers","especially close","8",NA
"male","32","3","female","almost daily","male","once a month","male","once a month",NA,NA,NA,NA,"know each other","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"2","good"
"male","48","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","43","3","female","almost daily","male","once a week","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"0","excellent"
"female","23","3","female","almost daily","male","once a week","female","once a week",NA,NA,NA,NA,"know each other","especially close",NA,NA,"know each other",NA,NA,NA,NA,NA,"5",NA
"male","62","2","female","almost daily","male","once a month",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"male","46","3","female","almost daily","male","almost daily","male","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"female","45","4","male","almost daily","female","almost daily","female","once a week","female","once a week",NA,NA,"know each other","especially close","know each other",NA,"know each other","know each other",NA,"know each other",NA,NA,"15",NA
"female","26","3","male","almost daily","female","almost daily","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,"2",NA
"female","62","3","male","almost daily","female","almost daily","female","once a week",NA,NA,NA,NA,"especially close","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"7","excellent"
"male","52","4","female","almost daily","male","almost daily","male","once a month","male","once a month",NA,NA,"especially close","especially close","know each other",NA,"especially close","know each other",NA,"total strangers",NA,NA,"5",NA
"male","64","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fair"
"female","50","2","female","once a month","female","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","72","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","46","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"male","52","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"female","39","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good"
"male","27","3","female","almost daily","female","once a week","female","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"20","very good"
"female","64","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","35","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"male","35","1","male","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","60","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"female","36","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","excellent"
"female","38","3","female","once a week","male","once a month","male","once a week",NA,NA,NA,NA,"total strangers","especially close",NA,NA,"total strangers",NA,NA,NA,NA,NA,"14",NA
